id_sensor | valor | tipo | timestamp
2 | 57.24 | CO2 | 2025-01-15 16:07:41
2 | 57.02 | CO2 | 2025-01-15 16:07:48
2 | 57.21 | CO2 | 2025-01-15 16:07:54
2 | 57.26 | CO2 | 2025-01-15 16:08:00
2 | 56.83 | CO2 | 2025-01-15 16:08:07
2 | 57.25 | CO2 | 2025-01-15 16:08:13
2 | 57.58 | CO2 | 2025-01-15 16:08:19
2 | 57.18 | CO2 | 2025-01-15 16:08:25
2 | 57.26 | CO2 | 2025-01-15 16:08:31
2 | 57.51 | CO2 | 2025-01-15 16:08:37
2 | 57.41 | CO2 | 2025-01-15 16:08:44
2 | 57.46 | CO2 | 2025-01-15 16:08:50
2 | 57.39 | CO2 | 2025-01-15 16:08:56
2 | 57.52 | CO2 | 2025-01-15 16:09:02
2 | 57.28 | CO2 | 2025-01-15 16:09:08
2 | 57.14 | CO2 | 2025-01-15 16:09:14
2 | 57.25 | CO2 | 2025-01-15 16:09:27
2 | 57.09 | CO2 | 2025-01-15 16:09:33
2 | 57.2 | CO2 | 2025-01-15 16:09:39
2 | 57.33 | CO2 | 2025-01-15 16:09:45
2 | 57.18 | CO2 | 2025-01-15 16:09:51
2 | 57.17 | CO2 | 2025-01-15 16:09:57
2 | 57.24 | CO2 | 2025-01-15 16:10:04
2 | 57.2 | CO2 | 2025-01-15 16:10:10
2 | 57.1 | CO2 | 2025-01-15 16:10:16
2 | 57.39 | CO2 | 2025-01-15 16:10:22
2 | 57.47 | CO2 | 2025-01-15 16:10:29
2 | 57.21 | CO2 | 2025-01-15 16:10:35
2 | 57.38 | CO2 | 2025-01-15 16:10:42
2 | 57.46 | CO2 | 2025-01-15 16:10:48
2 | 57.97 | CO2 | 2025-01-15 16:10:54
2 | 57.04 | CO2 | 2025-01-15 16:11:00
2 | 57.3 | CO2 | 2025-01-15 16:11:06
2 | 57.24 | CO2 | 2025-01-15 16:11:13
2 | 57.06 | CO2 | 2025-01-15 16:11:19
2 | 57.38 | CO2 | 2025-01-15 16:11:25
2 | 57.46 | CO2 | 2025-01-15 16:11:31
2 | 57.2 | CO2 | 2025-01-15 16:11:37
2 | 57.37 | CO2 | 2025-01-15 16:11:43
2 | 57.52 | CO2 | 2025-01-15 16:11:50
2 | 57.38 | CO2 | 2025-01-15 16:11:56
2 | 57.26 | CO2 | 2025-01-15 16:12:02
2 | 57.03 | CO2 | 2025-01-15 16:12:08
2 | 57.18 | CO2 | 2025-01-15 16:12:14
2 | 57.24 | CO2 | 2025-01-15 16:12:20
2 | 57.23 | CO2 | 2025-01-15 16:12:26
2 | 57.31 | CO2 | 2025-01-15 16:12:33
2 | 57.67 | CO2 | 2025-01-15 16:12:39
2 | 57.24 | CO2 | 2025-01-15 16:12:45
2 | 57.2 | CO2 | 2025-01-15 16:12:51
2 | 57.22 | CO2 | 2025-01-15 16:12:59
2 | 57.33 | CO2 | 2025-01-15 16:13:05
2 | 57.3 | CO2 | 2025-01-15 16:13:11
2 | 57.23 | CO2 | 2025-01-15 16:13:17
2 | 57.32 | CO2 | 2025-01-15 16:13:23
2 | 57.1 | CO2 | 2025-01-15 16:13:30
2 | 57.25 | CO2 | 2025-01-15 16:13:36
2 | 57.22 | CO2 | 2025-01-15 16:13:42
2 | 56.96 | CO2 | 2025-01-15 16:13:48
2 | 57.25 | CO2 | 2025-01-15 16:13:54
2 | 57.18 | CO2 | 2025-01-15 16:14:00
2 | 57.23 | CO2 | 2025-01-15 16:14:07
2 | 57.34 | CO2 | 2025-01-15 16:14:13
2 | 57.23 | CO2 | 2025-01-15 16:14:19
2 | 57.24 | CO2 | 2025-01-15 16:14:25
2 | 57.12 | CO2 | 2025-01-15 16:14:31
2 | 57.43 | CO2 | 2025-01-15 16:14:37
2 | 57.05 | CO2 | 2025-01-15 16:14:44
2 | 57.25 | CO2 | 2025-01-15 16:14:51
2 | 57.24 | CO2 | 2025-01-15 16:14:57
2 | 57.09 | CO2 | 2025-01-15 16:15:03
2 | 57.24 | CO2 | 2025-01-15 16:15:09
2 | 57.27 | CO2 | 2025-01-15 16:15:15
2 | 57.29 | CO2 | 2025-01-15 16:15:21
2 | 57.12 | CO2 | 2025-01-15 16:15:28
